epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44627,1.76057,3.20727,2.22574,0.00603,1,0.46418,0.17814,1.35182,3.03814,1.85837,0.00044299,0.00044299,0.00044299
2,5.71662,1.47168,2.53534,1.82477,0.55453,0.2488,0.41464,0.23207,1.37781,2.5406,1.98594,0.000900117,0.000900117,0.000900117
3,7.68412,1.45297,2.38411,1.85183,0.50528,0.4037,0.45165,0.21814,1.61451,2.16233,2.25539,0.00135663,0.00135663,0.00135663
4,9.59289,1.40633,2.35024,1.8346,0.59509,0.64063,0.63859,0.30098,1.65346,4.45044,2.47577,0.00142682,0.00142682,0.00142682
5,11.547,1.39574,2.20694,1.81062,0.53027,0.60665,0.5665,0.27593,1.82845,3.57258,2.7464,0.00142513,0.00142513,0.00142513
6,13.4526,1.41776,2.21308,1.79819,0.7918,0.63077,0.76287,0.45771,1.44105,3.55754,2.21719,0.00142295,0.00142295,0.00142295
7,15.3768,1.36805,2.07791,1.78162,0.70121,0.63529,0.75808,0.36467,1.63676,2.63611,2.3325,0.00142029,0.00142029,0.00142029
8,17.3573,1.37179,2.04085,1.72324,0.52097,0.65769,0.64281,0.3545,1.54291,2.15804,2.06565,0.00141716,0.00141716,0.00141716
9,19.3439,1.36216,2.10683,1.74669,0.81562,0.57487,0.72479,0.33262,1.70844,1.87996,2.28796,0.00141354,0.00141354,0.00141354
10,21.3611,1.40727,1.99904,1.74719,0.66108,0.70165,0.77103,0.39632,1.6829,2.15182,2.27751,0.00140946,0.00140946,0.00140946
11,23.3948,1.40196,1.99542,1.74321,0.65949,0.63904,0.77102,0.35546,1.70707,1.77405,2.16429,0.0014049,0.0014049,0.0014049
12,25.3485,1.35867,1.94968,1.74983,0.70999,0.68764,0.74463,0.37002,1.78646,1.81085,2.27477,0.00139987,0.00139987,0.00139987
13,27.353,1.34537,1.87198,1.70501,0.64296,0.59405,0.67782,0.4081,1.52845,1.95277,2.05987,0.00139438,0.00139438,0.00139438
14,29.2745,1.29792,1.94709,1.72454,0.80554,0.61456,0.71378,0.38487,1.60979,2.01223,2.19047,0.00138843,0.00138843,0.00138843
15,31.2449,1.29386,1.79164,1.69143,0.83353,0.82436,0.88541,0.45279,1.58825,1.54498,2.15383,0.00138202,0.00138202,0.00138202
16,33.208,1.28999,1.77793,1.67682,0.71407,0.95769,0.86615,0.39396,1.85837,1.36824,2.52796,0.00137516,0.00137516,0.00137516
17,35.1542,1.33483,1.71754,1.65101,0.80824,0.82436,0.88884,0.48728,1.66658,1.40033,2.25351,0.00136785,0.00136785,0.00136785
18,37.1369,1.24109,1.70367,1.63235,0.76001,0.92436,0.9231,0.4988,1.61281,1.40278,2.18765,0.00136009,0.00136009,0.00136009
19,39.0928,1.32591,1.71185,1.72424,0.87324,0.86482,0.89748,0.42722,1.87721,1.403,2.55351,0.0013519,0.0013519,0.0013519
20,41.0498,1.31638,1.75826,1.68701,0.83845,0.83914,0.88796,0.50265,1.58854,1.3161,2.12477,0.00134328,0.00134328,0.00134328
21,42.9953,1.32333,1.65145,1.68079,0.91381,0.73451,0.9039,0.47568,1.60339,1.4065,2.23572,0.00133423,0.00133423,0.00133423
22,44.9332,1.22541,1.55656,1.60659,0.85134,0.80828,0.89646,0.46769,1.67896,1.40035,2.30089,0.00132476,0.00132476,0.00132476
23,46.851,1.28695,1.60415,1.64424,0.83782,0.79341,0.84965,0.49588,1.64043,1.25277,2.10598,0.00131488,0.00131488,0.00131488
24,48.8562,1.3121,1.59064,1.67366,0.84505,0.85278,0.86422,0.45735,1.65216,1.29483,2.14103,0.00130459,0.00130459,0.00130459
25,50.7956,1.28052,1.60888,1.64329,0.82613,0.85769,0.88919,0.48389,1.61994,1.47258,2.22243,0.00129391,0.00129391,0.00129391
26,52.7916,1.31413,1.57261,1.65202,0.87543,0.73282,0.84871,0.53725,1.34664,1.31832,1.88298,0.00128283,0.00128283,0.00128283
27,54.7657,1.28591,1.56676,1.66556,0.82856,0.75769,0.84026,0.43517,1.6832,1.35132,2.25701,0.00127136,0.00127136,0.00127136
28,56.8322,1.22105,1.49777,1.58166,0.91649,0.75769,0.83751,0.43808,1.60866,1.34157,2.15147,0.00125952,0.00125952,0.00125952
29,58.9212,1.27231,1.50057,1.64066,0.87303,0.77121,0.90239,0.53216,1.48695,1.22095,1.97834,0.00124731,0.00124731,0.00124731
30,60.9434,1.24351,1.52375,1.63229,0.70885,0.86322,0.83055,0.41034,1.91261,1.4114,2.55263,0.00123474,0.00123474,0.00123474
31,62.8934,1.24707,1.4928,1.64441,0.83821,0.66341,0.78755,0.40957,1.99465,1.49571,2.58209,0.00122182,0.00122182,0.00122182
