epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28119,1.54407,4.2418,0.03871,0.00749,0.61269,0.03415,0.00733,2.60773,3.43414,0.11204,0.000327044,0.000327044,0.0676226
2,12.5569,1.36035,3.55889,0.03266,0.00418,1,0.22524,0.09617,1.15736,3.62957,0.04076,0.000660306,0.000660306,0.0346226
3,17.6624,1.35398,3.38825,0.0325,0.61416,0.14064,0.27093,0.13592,1.16661,3.20572,0.04176,0.000993279,0.000993279,0.00162221
4,23.1077,1.33181,3.21451,0.03302,0.5048,0.27894,0.29977,0.13514,1.39995,3.1595,0.05105,0.000999023,0.000999023,0.000999023
5,28.3087,1.29551,2.98464,0.03136,0.54886,0.40285,0.33256,0.16747,1.38176,3.18745,0.05197,0.000998264,0.000998264,0.000998264
6,33.4006,1.3849,2.96027,0.03454,0.33777,0.33767,0.3856,0.17739,1.60473,2.9123,0.06108,0.000997288,0.000997288,0.000997288
7,40.4417,1.35423,2.9208,0.03316,0.45322,0.39522,0.38001,0.22476,1.26685,2.36425,0.04537,0.000996097,0.000996097,0.000996097
8,46.3275,1.31455,2.85232,0.03247,0.29059,0.55351,0.41936,0.26706,1.14144,2.15262,0.0388,0.00099469,0.00099469,0.00099469
9,52.1321,1.3087,2.75302,0.03235,0.43905,0.52289,0.46179,0.24086,1.4595,2.34578,0.05208,0.000993068,0.000993068,0.000993068
10,58.4319,1.39946,2.78889,0.03355,0.47857,0.44625,0.47116,0.29817,1.19787,1.96796,0.04191,0.000991232,0.000991232,0.000991232
11,63.9186,1.33608,2.69309,0.03204,0.50724,0.52654,0.54915,0.31319,1.35587,1.76737,0.04902,0.000989183,0.000989183,0.000989183
12,69.3115,1.37368,2.68259,0.03298,0.48283,0.62179,0.62795,0.3635,1.38908,1.57741,0.04938,0.000986922,0.000986922,0.000986922
13,74.9131,1.36735,2.45744,0.03234,0.45782,0.61663,0.64284,0.31178,1.7643,1.53288,0.06548,0.000984449,0.000984449,0.000984449
14,80.2268,1.37191,2.37767,0.03317,0.509,0.56801,0.58383,0.3104,1.54646,1.58385,0.05634,0.000981765,0.000981765,0.000981765
15,85.559,1.41939,2.39061,0.03408,0.64197,0.64694,0.66606,0.38779,1.42764,1.25925,0.05029,0.000978873,0.000978873,0.000978873
16,90.9547,1.38991,2.42166,0.03493,0.71343,0.69602,0.76961,0.36983,1.7577,1.22278,0.06508,0.000975773,0.000975773,0.000975773
17,96.3799,1.35437,2.31641,0.03286,0.61517,0.7013,0.78525,0.47633,1.36859,1.20917,0.04682,0.000972466,0.000972466,0.000972466
18,102.299,1.39778,2.3247,0.03388,0.5606,0.65497,0.72231,0.41461,1.56847,1.20909,0.0563,0.000968955,0.000968955,0.000968955
19,107.903,1.43386,2.22149,0.0347,0.65794,0.68375,0.71614,0.44919,1.33364,1.12984,0.04493,0.000965239,0.000965239,0.000965239
20,113.768,1.38822,2.19697,0.0334,0.77692,0.66359,0.80175,0.4331,1.51706,1.11931,0.0531,0.000961322,0.000961322,0.000961322
21,119.49,1.40118,2.11373,0.03454,0.82771,0.70214,0.84838,0.33931,2.04352,1.16573,0.0781,0.000957205,0.000957205,0.000957205
22,124.958,1.4394,2.12848,0.03633,0.74183,0.71473,0.81955,0.48464,1.43805,1.03438,0.05015,0.000952889,0.000952889,0.000952889
23,131.379,1.39892,2.00977,0.0334,0.64318,0.79473,0.83195,0.45128,1.63495,1.04751,0.05838,0.000948377,0.000948377,0.000948377
24,137.41,1.4592,2.04891,0.037,0.73615,0.75623,0.83998,0.4748,1.61474,0.93047,0.05807,0.000943671,0.000943671,0.000943671
25,143.398,1.46109,2.03257,0.03644,0.86151,0.78412,0.89785,0.45625,1.78074,0.86893,0.06589,0.000938772,0.000938772,0.000938772
26,150.307,1.42693,1.92635,0.03408,0.76464,0.84231,0.90445,0.44196,1.84806,0.87475,0.06942,0.000933683,0.000933683,0.000933683
27,156.847,1.45253,1.99103,0.03707,0.79496,0.82323,0.92037,0.41105,1.97033,0.94611,0.07375,0.000928405,0.000928405,0.000928405
28,163.294,1.50215,1.92135,0.03646,0.78148,0.85123,0.9072,0.46926,1.70625,0.85948,0.06244,0.000922942,0.000922942,0.000922942
29,169.029,1.43334,1.92071,0.03399,0.79866,0.84719,0.90694,0.56772,1.35838,0.77619,0.05049,0.000917296,0.000917296,0.000917296
30,175.182,1.45773,1.92108,0.03583,0.74078,0.88106,0.85812,0.43542,1.79613,0.87999,0.06951,0.000911469,0.000911469,0.000911469
31,180.992,1.43895,1.83593,0.036,0.75602,0.85515,0.88678,0.5101,1.5,0.80131,0.05308,0.000905463,0.000905463,0.000905463
32,186.786,1.41272,1.80894,0.03322,0.77172,0.75217,0.85722,0.54953,1.3041,0.81218,0.04391,0.000899282,0.000899282,0.000899282
33,192.383,1.46442,1.94611,0.03522,0.70245,0.87574,0.88472,0.45276,1.74025,0.85266,0.0633,0.000892928,0.000892928,0.000892928
34,198.06,1.40197,1.74063,0.03418,0.72741,0.84882,0.88628,0.49622,1.5359,0.80904,0.05367,0.000886404,0.000886404,0.000886404
35,204.01,1.43521,1.80563,0.03443,0.83144,0.78952,0.88214,0.51739,1.49891,0.81479,0.05404,0.000879713,0.000879713,0.000879713
36,209.97,1.4336,1.78192,0.03531,0.82162,0.88795,0.90615,0.59217,1.20885,0.75731,0.04016,0.000872857,0.000872857,0.000872857
37,217.084,1.38512,1.73679,0.0335,0.86605,0.85243,0.9255,0.5718,1.28775,0.74537,0.0444,0.000865839,0.000865839,0.000865839
38,223.386,1.40218,1.75299,0.03419,0.8114,0.84907,0.92602,0.54218,1.43014,0.76773,0.05104,0.000858664,0.000858664,0.000858664
39,229.342,1.43473,1.77193,0.03455,0.8967,0.90315,0.95537,0.65163,1.12281,0.61751,0.0379,0.000851333,0.000851333,0.000851333
40,235.187,1.35573,1.60148,0.0324,0.87496,0.88138,0.94306,0.55978,1.39451,0.73527,0.04908,0.000843851,0.000843851,0.000843851
41,241.71,1.36721,1.60878,0.0332,0.84852,0.81528,0.91645,0.58981,1.23964,0.71267,0.04358,0.00083622,0.00083622,0.00083622
42,249.203,1.37749,1.65704,0.03402,0.84413,0.88586,0.93258,0.6122,1.27825,0.6088,0.0455,0.000828443,0.000828443,0.000828443
43,255.216,1.39052,1.64535,0.03315,0.88502,0.87554,0.94599,0.56522,1.52031,0.64816,0.05671,0.000820525,0.000820525,0.000820525
44,261.909,1.35391,1.60748,0.03264,0.83985,0.90171,0.92771,0.59384,1.32062,0.66377,0.04518,0.000812468,0.000812468,0.000812468
45,268.622,1.35609,1.68133,0.03284,0.91684,0.87675,0.94639,0.59606,1.34706,0.64131,0.04644,0.000804277,0.000804277,0.000804277
46,275.492,1.35688,1.62235,0.0329,0.87929,0.87385,0.94999,0.61171,1.3131,0.58974,0.04624,0.000795954,0.000795954,0.000795954
47,281.991,1.32938,1.67687,0.03131,0.90647,0.92156,0.96704,0.70034,1.06151,0.4933,0.03588,0.000787503,0.000787503,0.000787503
48,288.44,1.34411,1.64976,0.0323,0.87955,0.90507,0.93992,0.57293,1.44299,0.6683,0.05123,0.000778929,0.000778929,0.000778929
49,294.997,1.42671,1.61178,0.03554,0.89638,0.90993,0.95854,0.5674,1.52188,0.64268,0.055,0.000770234,0.000770234,0.000770234
50,300.564,1.34415,1.61306,0.03243,0.90328,0.83672,0.96165,0.62845,1.26039,0.63007,0.04266,0.000761423,0.000761423,0.000761423
51,306.212,1.39142,1.60553,0.03368,0.8751,0.93628,0.97286,0.63782,1.19721,0.5235,0.04008,0.0007525,0.0007525,0.0007525
52,312.188,1.29468,1.61874,0.03148,0.89536,0.8689,0.93834,0.56391,1.41312,0.63681,0.04865,0.000743468,0.000743468,0.000743468
53,317.572,1.41831,1.58259,0.03375,0.91699,0.91728,0.96548,0.69843,1.03905,0.50073,0.03408,0.000734332,0.000734332,0.000734332
54,323.205,1.4179,1.53249,0.03397,0.91392,0.84618,0.94947,0.67022,1.09612,0.57618,0.03744,0.000725094,0.000725094,0.000725094
55,328.841,1.3403,1.49916,0.03159,0.90451,0.83331,0.94789,0.61095,1.30076,0.59569,0.04493,0.000715761,0.000715761,0.000715761
56,334.409,1.31003,1.53055,0.03181,0.80381,0.95238,0.94521,0.67649,1.08546,0.5296,0.03555,0.000706335,0.000706335,0.000706335
57,340.368,1.3437,1.61268,0.03318,0.8644,0.93362,0.95904,0.63619,1.23002,0.53266,0.04252,0.00069682,0.00069682,0.00069682
58,345.789,1.33257,1.51513,0.03287,0.87368,0.93056,0.96408,0.60627,1.38958,0.56785,0.04991,0.000687222,0.000687222,0.000687222
59,351.156,1.3484,1.51169,0.03204,0.85625,0.92466,0.95158,0.71125,0.95987,0.5173,0.03206,0.000677543,0.000677543,0.000677543
60,356.927,1.34014,1.51745,0.03224,0.87297,0.91876,0.95798,0.61777,1.26667,0.56549,0.0433,0.000667789,0.000667789,0.000667789
61,362.575,1.34438,1.52381,0.03308,0.88403,0.89049,0.95208,0.6098,1.30911,0.5799,0.04521,0.000657963,0.000657963,0.000657963
62,368.032,1.30738,1.54369,0.03096,0.83578,0.89855,0.94131,0.69265,1.02772,0.49333,0.03412,0.000648071,0.000648071,0.000648071
63,373.863,1.3482,1.53396,0.03387,0.87317,0.91017,0.95992,0.66832,1.16371,0.49033,0.04079,0.000638115,0.000638115,0.000638115
64,379.269,1.26205,1.47425,0.02936,0.93861,0.90158,0.96494,0.62148,1.28089,0.52535,0.04542,0.000628101,0.000628101,0.000628101
65,385.363,1.35718,1.53531,0.03254,0.91574,0.89401,0.95054,0.70348,0.96609,0.49752,0.03245,0.000618034,0.000618034,0.000618034
66,391.127,1.33053,1.45162,0.03209,0.89318,0.9201,0.95608,0.66169,1.1835,0.49289,0.04053,0.000607916,0.000607916,0.000607916
67,396.677,1.34407,1.57198,0.03197,0.88901,0.89996,0.9628,0.62563,1.32116,0.53059,0.04483,0.000597754,0.000597754,0.000597754
68,402.226,1.34546,1.45742,0.03186,0.9378,0.89626,0.96855,0.69552,1.1094,0.47622,0.03673,0.000587551,0.000587551,0.000587551
69,407.686,1.37919,1.48854,0.03407,0.83598,0.94565,0.94511,0.6485,1.23207,0.5113,0.04284,0.000577311,0.000577311,0.000577311
70,413.11,1.30808,1.48818,0.03219,0.89033,0.94769,0.94318,0.60782,1.37191,0.50842,0.0484,0.00056704,0.00056704,0.00056704
71,418.717,1.31064,1.41413,0.03161,0.92431,0.90217,0.96086,0.70841,1.00487,0.43855,0.03315,0.000556742,0.000556742,0.000556742
72,424.197,1.33182,1.4779,0.03203,0.89301,0.93412,0.96759,0.71561,0.99811,0.43432,0.03262,0.000546421,0.000546421,0.000546421
73,430.027,1.30439,1.4389,0.03228,0.90546,0.94356,0.97641,0.64167,1.25597,0.4853,0.04453,0.000536081,0.000536081,0.000536081
74,435.59,1.29788,1.44825,0.03003,0.9314,0.93694,0.977,0.72568,0.96952,0.42712,0.03293,0.000525728,0.000525728,0.000525728
75,441.191,1.29587,1.42592,0.03082,0.94325,0.91353,0.96238,0.75547,0.84814,0.40683,0.02773,0.000515366,0.000515366,0.000515366
76,446.787,1.28997,1.45326,0.03093,0.89919,0.9727,0.96712,0.73321,0.94093,0.39879,0.03156,0.000505,0.000505,0.000505
77,452.214,1.27703,1.37231,0.03004,0.92209,0.95051,0.97238,0.67982,1.16485,0.42441,0.04186,0.000494634,0.000494634,0.000494634
78,457.777,1.31539,1.40703,0.03134,0.88558,0.97893,0.98034,0.70207,1.10017,0.40852,0.03839,0.000484272,0.000484272,0.000484272
79,463.473,1.30429,1.34435,0.03079,0.95056,0.99072,0.98919,0.70649,1.09754,0.38043,0.03703,0.000473919,0.000473919,0.000473919
80,468.879,1.30424,1.30212,0.03107,0.92659,0.92472,0.9835,0.65839,1.23277,0.45673,0.04216,0.000463579,0.000463579,0.000463579
81,474.594,1.27565,1.39875,0.031,0.85759,0.95037,0.9805,0.71209,1.04423,0.40566,0.03548,0.000453258,0.000453258,0.000453258
82,480.15,1.2688,1.25112,0.03008,0.95842,0.93001,0.98367,0.74647,0.93195,0.3667,0.03109,0.00044296,0.00044296,0.00044296
83,485.679,1.27794,1.42031,0.02993,0.9102,0.96231,0.98335,0.7506,0.93921,0.37074,0.03145,0.000432689,0.000432689,0.000432689
84,491.524,1.2858,1.30415,0.02998,0.91769,0.90962,0.97689,0.76041,0.89408,0.40001,0.0296,0.000422449,0.000422449,0.000422449
85,496.868,1.26299,1.34994,0.02896,0.95477,0.92314,0.98132,0.7331,0.98905,0.39147,0.03346,0.000412246,0.000412246,0.000412246
86,502.458,1.29992,1.34307,0.03066,0.9177,0.95506,0.98102,0.68151,1.13527,0.41474,0.03869,0.000402084,0.000402084,0.000402084
87,508.319,1.25724,1.25772,0.02955,0.95195,0.92569,0.98298,0.69604,1.12424,0.4005,0.03807,0.000391966,0.000391966,0.000391966
88,513.544,1.22028,1.3133,0.02976,0.96729,0.92765,0.97986,0.70966,1.03189,0.38525,0.0342,0.000381899,0.000381899,0.000381899
89,520.049,1.27684,1.30662,0.03151,0.97646,0.94493,0.98541,0.7146,1.08709,0.35746,0.03658,0.000371885,0.000371885,0.000371885
90,526.321,1.23665,1.33455,0.0307,0.95469,0.93245,0.97918,0.74495,0.9925,0.37504,0.03284,0.000361929,0.000361929,0.000361929
91,532.64,1.24306,1.28786,0.02903,0.89998,0.95953,0.97557,0.72403,1.0162,0.39282,0.03313,0.000352037,0.000352037,0.000352037
92,538.927,1.28321,1.33116,0.03176,0.92987,0.962,0.97844,0.67354,1.2102,0.41783,0.04137,0.000342211,0.000342211,0.000342211
